YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1950,-2.43,5.96,7.1,9.48,12.42,17.15,19.1,19.16,15.85,11.06,7.95,8.57,1.61,9.67,18.47,11.62,10.34
1951,4.21,6.26,5.56,11.22,13.8,17.64,19.45,17.93,16.5,11.92,8.45,3.91,6.35,10.19,18.34,12.29,11.79
1952,3.9,6.25,7.17,10.59,13.67,15.05,18.9,18.67,16.55,13.81,6.47,6.76,4.69,10.48,17.54,12.28,11.24
1953,8.25,5.95,7.49,9.63,12.85,14.45,18,18.49,16.77,13.17,9.56,7.09,6.99,9.99,16.98,13.17,11.78
1954,3.64,7.05,6.21,8.61,13.24,14.58,16.69,16.97,15.91,11.4,10.5,5.9,5.93,9.35,16.08,12.6,10.99
1955,5.02,4.5,5.01,8.03,11.42,15.47,16.64,17.13,14.94,11.26,4.87,4.55,5.14,8.15,16.41,10.36,10.02
1956,4.89,3.04,5.91,10.79,14.79,14.84,19.13,18.2,15.4,10.71,6.92,5.55,4.16,10.5,17.39,11.01,10.76
1957,1.31,5.15,7.87,11.05,15.39,16.73,17.54,17.44,18.04,11.37,7.36,7.42,4,11.44,17.24,12.26,11.23
1958,7.4,9.57,7.63,10.51,16.74,18.69,21.39,20.14,16.39,13.1,7.32,8.07,8.13,11.63,20.07,12.27,13.02
1959,5.8,5.91,7.68,10.69,12.84,16.23,19.84,17.75,15.05,12.03,7.54,5.51,6.59,10.4,17.94,11.54,11.62
1960,4.74,6.02,7.31,10.5,12.42,16.22,20.22,17.69,15.37,12.4,7.88,5.08,5.42,10.08,18.04,11.88,11.36
1961,7.39,7.83,8.28,9.29,13.04,18.4,20.4,21.13,15.78,11.41,6.42,5.01,6.77,10.2,19.98,11.2,12.04
1962,4.47,7.07,7.21,10.9,11.28,16.41,18.45,17.62,16.26,12.35,8.96,6.63,5.52,9.8,17.49,12.52,11.33
